id,pic_num,formula,Mn,Co,Cu,Ga,Ge,Nb,Ni,Si,Sn,Zn,N,C,B,sType,sTemper,sHour,t0,deltaL,l1,l2,deltaT,alpha,t1,t2
90,13-f3,Mn3Cu0.7Ge0.3N1,3,0,0.7,0,0.3,0,0,0,0,0,1,0,0,0,800,48,295,-2096.33,778.6,-1317.73,39.54,-53.02,178.29,217.82
91,15-f1,Mn3.07Zn0.93N1,3.07,0,0,0,0,0,0,0,0,0.93,1,0,0,0,,,300,-4099.68,1115.46,-2984.22,41.02,-99.94,127.05,168.07
92,15-f1,Mn3.15Zn0.85N1,3.15,0,0,0,0,0,0,0,0,0.85,1,0,0,0,,,300,-3909.92,837.25,-3072.67,52.14,-74.99,106.54,158.68
93,15-f1,Mn3.2Zn0.8N1,3.2,0,0,0,0,0,0,0,0,0.8,1,0,0,0,,,300,-3555.41,527.16,-3028.24,61.53,-57.78,93.79,155.32
94,15-f1,Mn3.25Zn0.75N1,3.25,0,0,0,0,0,0,0,0,0.75,1,0,0,0,,,300,-2193.74,-764.74,-2958.48,73.73,-29.76,78.27,152
95,15-f1,Mn3.3Zn0.7N1,3.3,0,0,0,0,0,0,0,0,0.7,1,0,0,0,,,300,-1560.85,-1460.92,-3021.77,98.12,-15.91,52.22,150.33
96,16-f3,Mn3Cu0.5Ge0.45Si0.05N1,3,0,0.5,0,0.45,0,0,0.05,0,0,1,0,0,0,850,48,300,-513.08,189.74,-323.34,80.65,-6.36,259.95,340.59
97,16-f3,Mn3Cu0.5Ge0.4Si0.1N1,3,0,0.5,0,0.4,0,0,0.1,0,0,1,0,0,0,850,48,300,-218.04,-33.49,-251.53,65.01,-3.35,189.81,254.83
98,16-f3,Mn3Cu0.5Ge0.35Si0.15N1,3,0,0.5,0,0.35,0,0,0.15,0,0,1,0,0,0,850,48,300,-230.27,-280.51,-510.78,85.12,-2.71,144.91,230.03
99,16-f3,Mn3Cu0.5Ge0.5N1,3,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,850,48,300,-649.11,-3.63,-652.73,84.64,-7.67,280.11,364.75
100,17-f1,Mn3.1Sn0.4Zn0.5N1,3.1,0,0,0,0,0,0,0,0.4,0.5,1,0,0,1,850,0.17,415,-1470.94,502.16,-968.78,57.06,-25.78,314.13,371.19
101,17-f2,Mn3.2Sn0.3Zn0.5N1,3.2,0,0,0,0,0,0,0,0.3,0.5,1,0,0,1,850,0.17,395,-1840.24,398.67,-1441.57,50.77,-36.25,293.39,344.15
102,17-f3,Mn3.3Sn0.2Zn0.5N1,3.3,0,0,0,0,0,0,0,0.2,0.5,1,0,0,1,850,0.17,395,-2103.64,-17.87,-2121.5,74.02,-28.42,247.9,321.93
,,,3.1,0,0,0,0,0,0,0,0.5,0.4,0,0,0,,,,179.45,-330,2300,1970,49,-6.73,390.15,439.15
,,,3.1,0,0,0,0,0,0,0,0.4,0.5,0,0,0,,,,417.49,-2982,1042,-1940,56,-53.25,314.15,370.15
,,,3.1,0,0,0,0,0,0,0,0.3,0.6,0,0,0,,,,400.85,-1420,1100,-320,51,-27.84,330.15,381.15
,,,3.2,0,0,0,0,0,0,0,0.4,0.4,0,0,0,,,,183.15,-500,1800,1300,56,-8.93,358.15,414.15
,,,3.2,0,0,0,0,0,0,0,0.3,0.5,0,0,0,,,,291.8,-5534.4,1264.4,-4270,52,-106.43,292.15,344.15
,,,3.2,0,0,0,0,0,0,0,0.2,0.6,0,0,0,,,,381.25,-2114,814,-1300,69,-30.64,239.15,308.15
,,,3.3,0,0,0,0,0,0,0,0.3,0.4,0,0,0,,,,347.22,-138,63,-75,44,-3.14,262.15,306.15
,,,3.3,0,0,0,0,0,0,0,0.2,0.5,0,0,0,,,,346.52,-152,6.5,-145.5,65.77,-2.31,206.15,271.92
,,,3.3,0,0,0,0,0,0,0,0.1,0.6,0,0,0,,,,263.15,-121.7,59.2,-62.5,43,-2.83,175.15,218.15
