NT,QT,TT,C,Si,Mn,P,S,Ni,Cr,Cu,Mo,RR,dA,dB,dC,Fatigue,Tensile,Fracture,Hardness
870,855,600,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,1740,0.03,0,0,522,969,1665,299
870,855,600,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,820,0.01,0,0.01,504,902,1638,297
870,855,600,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,1120,0.02,0,0.03,516,979,1667,318
870,855,600,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,1740,0.03,0,0.01,517,935,1656,296
870,855,600,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,820,0.01,0.01,0.01,511,962,1650,305
870,855,600,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,1120,0.01,0,0.01,518,985,1672,306
870,855,600,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,820,0.03,0,0.02,524,956,1679,312
870,855,600,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,1120,0.02,0,0.01,503,949,1664,300
870,855,650,0.43,0.24,0.74,0.022,0.013,0.03,1.12,0.02,0,1740,0.03,0,0,483,888,1671,277
870,855,650,0.42,0.27,0.71,0.01,0.008,0.02,0.96,0.04,0,820,0.01,0,0.01,457,862,1627,272
870,855,650,0.4,0.31,0.78,0.012,0.01,0.07,1.1,0.13,0,1120,0.02,0,0.03,482,869,1627,277
870,855,650,0.42,0.22,0.72,0.016,0.014,0.03,1.06,0.01,0,1740,0.03,0,0.01,470,857,1647,272
870,855,650,0.39,0.25,0.73,0.011,0.005,0.06,0.98,0.11,0,820,0.01,0.01,0.01,459,878,1616,279
870,855,650,0.42,0.32,0.81,0.014,0.007,0.03,1.09,0.04,0,1120,0.01,0,0.01,490,897,1647,277
870,855,650,0.42,0.26,0.78,0.01,0.004,0.04,0.94,0.05,0,820,0.03,0,0.02,485,861,1619,280
870,855,650,0.4,0.32,0.79,0.013,0.011,0.05,1.09,0.04,0,1120,0.02,0,0.01,483,880,1683,277
870,855,550,0.36,0.3,0.73,0.017,0.016,0.05,1.01,0.19,0.16,820,0.08,0,0.01,587,1118,1784,362
870,855,550,0.35,0.3,0.7,0.019,0.012,0.02,1.03,0.01,0.15,1250,0,0,0.02,571,1048,1802,341
870,855,550,0.36,0.27,0.79,0.012,0.007,0.03,1.03,0.04,0.17,1120,0,0,0.01,578,1092,1797,350
870,855,550,0.36,0.23,0.81,0.014,0.022,0.05,0.99,0.08,0.16,530,0.02,0,0,526,1053,1825,342
