Alloy,Dmax
B5Fe90Zr5,0
B5Mo70Si25,0
B5Mo75Si20,0
B5Mo80Si15,0
B5Mo85Si10,0
B5Mo90Si5,0
B6Co84Nb10,0
B6Cr12Fe82,0
B6Cr14Fe80,0
B6Cr15Fe79,0
B6Cr16Fe78,0
B6Cr18Fe76,0
B6Cr20Fe74,0
B6Cr22Fe72,0
B6Cr24Fe70,0
B6Cr26Fe68,0
B6Cr5Fe89,0
B6Cu10Fe84,0
B6Cu15Fe79,0
B6Cu1Fe93,0
B6Cu3Fe91,0
B6Cu5Fe89,0
B6Fe69Ni25,0
B6Fe74Mo20,0
B6Fe74Ni20,0
B6Fe76Mo18,0
B6Fe78Nd16,0
B6Fe79Mn15,0
B6Fe79Mo15,0
B6Fe79Nb15,0
B6Fe79Ni15,0
B6Fe81.5Si12.5,0
B6Fe82Mo12,0
B6Fe83Si11,0
B6Fe84Mn10,0
B6Fe84Mo10,0
B6Fe84Ni10,0
B6Fe84P10,0
B6Fe84V10,0
B6Fe86Mo8,0
B6Fe89Mn5,0
B6Fe89Mo5,0
B6Fe89Nb5,0
