Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Ga,Gd,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pd,Pr,Sc,Si,Sm,Sn,Ta,Tb,Ti,Tm,W,Y,Yb,Zn,Zr,Dmax
0,0,0,0,0,0,0,0,0,0,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,10,1
0,0,0,0,0,0,0,0,0,0,35.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.768,0,0,0,0,0,0,6,0,0,42.3,0,0,0,0,0,9.4,1
0,0,0,0,0,0,0,0,0,0,36.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.912,0,0,0,0,0,0,4,0,0,43.2,0,0,0,0,0,9.6,1
0,0,0,0,0,0,0,0,0,0,37.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.056,0,0,0,0,0,0,2,0,0,44.1,0,0,0,0,0,9.8,2
7,18.6,0,0,0,0,0,0,18.6,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.15,14
5,19,0,0,0,0,0,0,19,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,16
3,19.4,0,0,0,0,0,0,19.4,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.35,16
1,19.8,0,0,0,0,0,0,19.8,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.45,10
0,10,0,0,0,0,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3
7,9.3,0,0,0,0,0,0,0,0,21.39,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.66,4
5,9.5,0,0,0,0,0,0,0,0,21.85,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9,5
3,9.7,0,0,0,0,0,0,0,0,22.31,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.14,10
1,9.9,0,0,0,0,0,0,0,0,22.77,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.38,4
0,0,0,19.2,0,0,0,0,43.2,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,19.2,0,0,0,0,50.4,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,3.5
0,0,0,19.2,0,0,0,0,57.6,0,0,0,0,14.4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,2.5
0,0,0,19.2,0,0,0,0,64.8,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,19.2,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,22.56,0,0,0,0,33.84,0,0,6,0,33.84,0,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,19.2,0,0,0,0,28.8,0,0,0,0,43.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,4
